Регионы,Ценовые сегменты,Пол и возраст,Требования,Образцы,Ткани и фурнитура,Минимальная партия,Плотность материала,Ценовой сегмент,Тип одежды,Другие виды изделий,Дополнительные услуги,Дизайн и моделирование,Требования к заказчику,Конструирование,Упаковка,По сезону,Обеспечение сырьем,Технология,Назначение,Техническая документация,Нанесение принта,Условия оплаты,Вид изделия,Сертификация,Минимальный заказ,Загруженность,Виды нанесения
Алтайский Край,Премиум,Большие размеры,Разработка лекал,Да,08 на большие размеры,1-99,Легкая (менее 150гр/м2),До 1000 руб/метр (среднее качество),Брючно-юбочная одежда (поясничная группа),Аксессуары,3d-сканирование,Вшивные ярлыки),3d-модель изделия,Бумажные лекала на базовый размер,Гост 8737-77,Весна-осень,Cырье фабрика,Описание требований по уходу за изделием,Городская одежда,Возможна разработка лекал,Нанесение логотипа,Аванс 30% / расчет 70%,Адыгейский костюм,Не требует обязательной сертификации,1-9999,Всегда есть возможность принять небольшие заказы,Аппликация
Амурская Область,Средний,Детская одежда,Разработка технологической документации,Нет,1,100-249,Плотная (более 300гр/м2),До 500 руб/метр (эконом сегмент),Верхний трикотаж,Мягкие игрушки,Аренда одежды,Декорирование/брендирование готовых изделий,Лекала баз. размера в бумажном варианте,Бумажные лекала на все размеры,,Всесезон / помещения,Давальческое сырье,Отрисовка технического рисунка,Деловая одежда,Выезд на сдачу-приемку/экспертизу,Нанесение принта на изделие,Аванс 50% / расчет 50%,Английский костюм,Обычная одежда,10000-49999,Необходимо согласование не менее чем за 1 месяц,Бирка
Архангельская Область,Средний плюс,Детская одежда для девочек,Разработка/доработка модели,,1% нейлон,1000-4999,Средней плотности (150-300гр/м2),От 1000 руб/метр (премиальное качество),Верхняя демисезонная одежда,Обувь,Безопасная сделка,Индивидуальный дизайн фурнитуры,Лекала в эл. виде в формате .aama,Да,,Зима,Нужен подбор поставщика,Подбор ткани по внешнему виду,Деловая офисная одежда,Выезд на снятие мерок,Нанесение принта на ткань,Аванс 70% / расчет 30%,Афганки,Спецодежда и сиз,100000-249999,Необходимо согласование не менее чем за 14 дней,Вышивка
Астраханская Область,Эконом,Детская одежда для мальчиков,,,1% эластан,10000+,,,Верхняя зимняя одежда,Одежда и текстиль для животных,Выезд на снятие мерок,Макет (эскиз) нанесения с четким расположением места нанесения на изделии,Лекала на базовый размер,Заведение ручных лекал через дигитайзер,,Лето,Нужна консультация по выбору материалов,Подготовка документации для сертификации,Домашняя одежда,Конфекционная карта,Не требуется,Безналичная оплата,Балаклавы,Требующие обязательную сертификацию,1000000-4999999,Необходимо согласование не менее чем за 2-3 месяца,Лента
Башкортостан Респ,,Для беременных,,,10% лен,250-499,,,Верхняя одежда,Сумки,Маркировка,Перевод логотипа из растра в вектор,Лекала на все размеры в бумажном варианте,Изготовление и спецификация комплекта градированных лекал,,,Поиск и закупка под конкретные требования,Разработка конфекционной карты,Карнавальные костюмы,Лекала и техническая документация заказчика,Окрашивание ткани,Безналичными,Балдахины,,250000-499999,,Прямая dtg печать
Белгородская Обл,,Для новорожденных,,,100% акрил хорошего качества,500-999,,,Вязаная одежда,Текстиль для дома и бизнеса,Пошив по индивидуальным меркам,Разработка коллекции/капсулы,Лекала с градацией по размерам,Конструирование комплекта рабочих лекал базового размера без макета,,,Частично давальческое/фабрики,Разработка ту. технических регламентов,Медицинская одежда,Нормирование операций,,Наличная оплата,Балетки спортивные,,50000-99999,,Прямая цифровая печать
Белгородская Область,,Женская одежда,,,100% нейлон).,5000-9999,,,Вязаный трикотаж,,Проведение испытаний (в лаборатории),Разработка логотипа,Образец изделий,Конструирование комплекта рабочих лекал базового размера с макетом,,,,Составу,Национальная одежда,Описание последовательности,,Отсрочка платежа до 10 дней,Банданы,,500000-999999,,Сублимационная печать
Бишкек,,Мужская одежда,,,100% полиэстер,,,,Головные уборы,,Ремонт одежды,Разработка принта на ткани,Основные технологические узлы (схемы) и операции,Нужен конструктор,,,,Технологическая спецификация применяемых материалов(описание особенностей технологии пошива и раскроя),Обмундирование,Предоставление схожего образца на тестирование,,Отсрочка платежа до 30 дней,Баулы,,5000000+,,Термоперенос
Брестская Область,,Одежда для беременных,,,100% хлопок,,,,Детская одежда,,Сертификация,Разработка фирменного стиля (бренд-бук,Полное ту изделия или гост,Оцифровка ручных лекал,,,,Технологическое описание со схемами узлов,Образовательные учреждения,Проработка образца,,Отсрочка платежа до 60 дней,Бахилы,,,,Тиснение
Брянская Обл,,Одежда для новорожденных,,,100% хлопок.,,,,Джинсовая одежда,,Химчистка,Технический эскиз изделия,Полный комплект материалов и фурнитуры,Печать лекал на плоттере,,,,Усадке,Одежда для религиозных обрядов,Работа по собственным лекалам,,По факту получения 100%,Башкирский костюм,,,,Шевроны
Брянская Область,,По медицинским показаниям,,,2 нитка,,,,Джинсовые изделия,,Юридическое сопровождение,,Раскладка лекал,Печать раскладок на плоттере,,,,,Одежда специального назначения и сиз,Раскрой по бумажным лекалам,,Счет без ндс,Бейсболки,,,,Штамп
Владимирская Область,,Подростковая одежда,,,200-240 гр.,,,,Домашняя одежда,,,,Раскладки,Подготовка раскладки лекал для массового производства,,,,,Офисная,Раскрой по цифровым раскладкам (раскройный комплекс),,Счет с ндс,Береты,,,,
Волгоградская Область,,Подростковая одежда для девочек,,,23% полиэстер,,,,Домашняя одежда и текстиль,,,,Спецификация применяемых материалов,Раскладки лекал в цифровом виде,,,,,Охота,,,,Бескозырка,,,,
Вологодская Обл,,Подростковая одежда для мальчиков,,,3- х нитка без начеса,,,,Женская одежда,,,,Табель мер,Спецификация прикладных материалов и фурнитуры по размерам/ростам,,,,,"Охота, рыбалка, туризм",,,,Бинт,,,,
Вологодская Область,,Унисекс,,,30 шерсть,,,,Изделия из кожи,,,,Технический рисунок,Табель мер,,,,,Охранные предприятия,,,,Блузка,,,,
Воронежская Область,,,,,30/1,,,,Изделия из меха,,,,Технологическое описание со схемами узлов,Требуется разработка лекал,,,,,Пищевое производство,,,,Боди,,,,
Гомельская Область,,,,,4 рулона кулирки кулирка,,,,Костюмные изделия,,,,Требования к таре/упаковке,Требуется разработка раскладок лекал,,,,,Повседневная,,,,Бокс,,,,
Город Ташкент,,,,,5 и 2,,,,Кроеный трикотаж,,,,Требуется соответствие гост,Цифровые лекала на базовый размер,,,,,Повседневная городская одежда,,,,Болгарский костюм,,,,
Гродненская Область,,,,,7$ метр,,,,Купальники,,,,Фото изделия,Цифровые лекала на все размеры,,,,,Рабочая одежа,,,,Бомбер,,,,
Джизакская Область,,,,,87 на маленькие размеры,,,,Легкая одежда,,,,Фото/рисунок изделия в любом виде,,,,,,Рабочая одежда,,,,Бортики для кроваток,,,,
Донецкая Народная Республика,,,,,Акрил,,,,Майка-топ,,,,Художественный эскиз,,,,,,Разное,,,,Борцовки,,,,
Еврейская Ао,,,,,Акрил 40%,,,,Медицинская одежда,,,,Эксплуатационная документация,,,,,,Рекламная индустрия,,,,Ботинки горнолыжные,,,,
Забаймыьский Край,,,,,Акрил+хлопок,,,,Мужская одежда,,,,,,,,,,Религиозная одежда,,,,Ботинки лыжероллерные,,,,
Запорожская Область,,,,,Альполюкси,,,,Нательное белье,,,,,,,,,,Рыбалка,,,,Ботинки лыжные,,,,
Ивановская Область,,,,,Армани шелк,,,,Нижнее белье,,,,,,,,,,Спецодежда и сиз,,,,Ботинки треккинговые,,,,
Иркутская Область,,,,,Атлас,,,,Носочно-чулочная продукция,,,,,,,,,,Спортивная одежда,,,,Бриджи,,,,
Калининградская Область,,,,,Бифлекс,,,,Перчатки и защита рук,,,,,,,,,,Театральные и карнавальные костюмы,,,,Брюки,,,,
Калужская Область,,,,,Бифлекс с нашими принтами,,,,Печать на ткани,,,,,,,,,,Торжественная одежда,,,,Бюстгальтер,,,,
Камчатский Край,,,,,Бязь,,,,Платочно-шарфовые изделия,,,,,,,,,,Туризм,,,,Валенки,,,,
Кемеровская Область,,,,,Вельвет,,,,Разное,,,,,,,,,,Униформа для horeca,,,,Варежки,,,,
Кировская Область,,,,,Велюровая пряжа,,,,Сорочечно-платьевая одежда (плечевая группа),,,,,,,,,,Униформа для сферы услуг,,,,Веломайки,,,,
Костанайская Область,,,,,Вискоза,,,,Спецодежда и сиз,,,,,,,,,,Униформа для сферы услуг и торговли,,,,Велосипедки,,,,
Костромская Область,,,,,Вискоза -50%,,,,Спортивная одежда,,,,,,,,,,Униформа для торговли,,,,Велосипедный спорт,,,,
Красково,,,,,Вискоза 35%,,,,Сумки и аксессуары,,,,,,,,,,Униформа охранных предприятий,,,,Велосумки,,,,
Краснодар,,,,,Вискоза трикотажная,,,,"Ткани, фурнитура, материалы",,,,,,,,,,"Фирменная одежда, мерч, промо",,,,"Веревки, канаты",,,,
Краснодарский Край,,,,,Вискоза50%,,,,Трикотажная одежда,,,,,,,,,,Фирменная одежда/мерч/промо,,,,Ветровка,,,,
Красноярский Край,,,,,Двойного кашемира,,,,Трусы слипы,,,,,,,,,,Форменная одежда,,,,"Волейбол, баскетбол",,,,
Курганская Область,,,,,Двухнитка,,,,Трусы слипы из утягивающей сетки,,,,,,,,,,"Форменная одежда, обмундирование",,,,Восточные единоборства,,,,
Курская Область,,,,,Дубайский шелк,,,,Униформа и спецодежда,,,,,,,,,,,,,,Галстуки,,,,
Кызылординская Область,,,,,Из них 4 модели с флэтлоком,,,,Футболка,,,,,,,,,,,,,,Гамаши,,,,
Ленинградская Область,,,,,Искусственная замша,,,,Чулочно-носочные изделия,,,,,,,,,,,,,,"Гермомешки, термосумки",,,,
Липецк,,,,,Искусственный лебяжий пух,,,,,,,,,,,,,,,,,,Гетры,,,,
Липецкая Область,,,,,Искусственный хлопок,,,,,,,,,,,,,,,,,,Гетры для регби,,,,
Луганская Народная Республика,,,,,Искусственный шелк,,,,,,,,,,,,,,,,,,Гетры и гольфы спортивные,,,,
Любой,,,,,Итальянский бифлекс,,,,,,,,,,,,,,,,,,Гетры футбольные,,,,
Магаданская Область,,,,,Карде,,,,,,,,,,,,,,,,,,Гобелены,,,,
Москва,,,,,Кашемир,,,,,,,,,,,,,,,,,,Гольфы,,,,
"Москва, Московская Область, Ближайшие Регионы",,,,,Кожа,,,,,,,,,,,,,,,,,,Горнолыжная одежда,,,,
Московская Обл,,,,,Костюм варенка и 100% хлопка,,,,,,,,,,,,,,,,,,Городские рюкзаки,,,,
Московская Область,,,,,Костюмная поливискоза,,,,,,,,,,,,,,,,,,Горшок мягкий,,,,
Мурманская Область,,,,,Костюмная ткань,,,,,,,,,,,,,,,,,,Грация,,,,
Наманганская Область,,,,,Кошемир,,,,,,,,,,,,,,,,,,Детское белье,,,,
Не Определено,,,,,Кулирка,,,,,,,,,,,,,,,,,,Джемпер,,,,
Ненецкий Ао,,,,,Кулирка + резинки,,,,,,,,,,,,,,,,,,Дорожные сумки,,,,
Нижегородская Область,,,,,Кулирка 200гр.,,,,,,,,,,,,,,,,,,Другие одноразовые изделия,,,,
Новгородская Область,,,,,Кулирка рр 50-62,,,,,,,,,,,,,,,,,,Жакет,,,,
Новосибирская Область,,,,,Кулирка хлопок,,,,,,,,,,,,,,,,,,Жилет,,,,
Омск,,,,,Кулирка. плотность ткани 180 гр,,,,,,,,,,,,,,,,,,Защитная обувь,,,,
Омская Область,,,,,Кулирная гладь 170 гр,,,,,,,,,,,,,,,,,,Зимние конверты,,,,
Оренбургская Область,,,,,Лайкра 5%,,,,,,,,,,,,,,,,,,Зонты,,,,
Орловская Область,,,,,Лайкра/эластан 5%.,,,,,,,,,,,,,,,,,,Ингушский костюм,,,,
Пензенская Область,,,,,Ластан+вискоза+полиэстер,,,,,,,,,,,,,,,,,,Испанский костюм,,,,
Пермский Край,,,,,Летная легкая ткань,,,,,,,,,,,,,,,,,,Казачий костюм,,,,
Приморский Край,,,,,Листовой утеплитель,,,,,,,,,,,,,,,,,,Калмыцкий костюм,,,,
Псковская Область,,,,,Лён пастельных цветов,,,,,,,,,,,,,,,,,,Кальсоны,,,,
Республика Адыгея,,,,,Материал  - 100 % акрил,,,,,,,,,,,,,,,,,,Камуфляжный костюм,,,,
Республика Алтай,,,,,Материал - трикотаж в рубчик.,,,,,,,,,,,,,,,,,,Канаты гимнастические,,,,
Республика Башкортостан,,,,,Материал барби или туран,,,,,,,,,,,,,,,,,,Капоры,,,,
Республика Бурятия,,,,,Материал босс,,,,,,,,,,,,,,,,,,Кардиган,,,,
Республика Дагестан,,,,,Материал вискоза полиэстер,,,,,,,,,,,,,,,,,,"Кепки, бейсболки",,,,
