Регионы,Ценовые сегменты,Пол и возраст,Требования,Образцы,Ткани и фурнитура,Минимальная партия,Плотность материала,Ценовой сегмент,Тип одежды,Другие виды изделий,Дополнительные услуги,Дизайн и моделирование,Требования к заказчику,Конструирование,Упаковка,По сезону,Обеспечение сырьем,Технология,Назначение,Техническая документация,Нанесение принта,Условия оплаты,Вид изделия,Сертификация,Минимальный заказ,Загруженность,Виды нанесения
Республика Ингушетия,,,,,Материал замша,,,,,,,,,,,,,,,,,,Кимоно,,,,
Республика Кабардино-Балкария,,,,,Материал темно-синий габардин,,,,,,,,,,,,,,,,,,Киргизский костюм,,,,
Республика Калмыкия,,,,,Материал утеплитель: синтепон   ткань: оксфорд,,,,,,,,,,,,,,,,,,Кителя банкетные,,,,
Республика Карачаево-Черкесия,,,,,Материал хлопок 100% или лён,,,,,,,,,,,,,,,,,,Кителя поварские,,,,
Республика Карелия,,,,,Материал экомех,,,,,,,,,,,,,,,,,,Коврики туристические,,,,
Республика Коми,,,,,Материал: лапша,,,,,,,,,,,,,,,,,,Ковры,,,,
Республика Крым,,,,,Материал: лапша лайкра,,,,,,,,,,,,,,,,,,Кожаная обувь,,,,
Республика Марий Эл,,,,,Мембрана,,,,,,,,,,,,,,,,,,Козырьки,,,,
Республика Мордовия,,,,,Милано песок,,,,,,,,,,,,,,,,,,Колготки,,,,
Республика Саха (Якутия),,,,,Муслин.,,,,,,,,,,,,,,,,,,Колпак медицинский,,,,
Республика Северная Осетия-Алания,,,,,На подкладе,,,,,,,,,,,,,,,,,,Колпак поварской,,,,
Республика Татарстан (Татарстан),,,,,Набивка пух/перо,,,,,,,,,,,,,,,,,,Комбидресс,,,,
Республика Тыва,,,,,Натуральная кожа,,,,,,,,,,,,,,,,,,Комбинация,,,,
Республика Удмуртия,,,,,Не 100% пэ,,,,,,,,,,,,,,,,,,Комбинезон,,,,
Республика Хакасия,,,,,Нейлон,,,,,,,,,,,,,,,,,,Комплекты на выписку,,,,
Республика Чечня,,,,,Нейлон 70%,,,,,,,,,,,,,,,,,,Компрессионное белье,,,,
Республика Чувашия,,,,,Нейлона 22.,,,,,,,,,,,,,,,,,,Корректирующее белье,,,,
Россия,,,,,Нужен постоянный пошив,,,,,,,,,,,,,,,,,,Корсет,,,,
Ростовская Область,,,,,Нужна шерсть,,,,,,,,,,,,,,,,,,Костюм грузии,,,,
Рязанская Область,,,,,Одежда из бифлекса,,,,,,,,,,,,,,,,,,Костюмы хассп,,,,
Рязань,,,,,Однотон,,,,,,,,,,,,,,,,,,Косынки,,,,
Самарская Область,,,,,Оксфорд,,,,,,,,,,,,,,,,,,Кофта,,,,
Санкт Петербург,,,,,Оксфорд 210d rip-stop pu 5000,,,,,,,,,,,,,,,,,,Краги тестильные,,,,
Санкт-Петербург,,,,,Пвх пленка,,,,,,,,,,,,,,,,,,Купальник,,,,
Саратовская Область,,,,,Пенье,,,,,,,,,,,,,,,,,,Куртка,,,,
Сахалинская Область,,,,,Плащевка,,,,,,,,,,,,,,,,,,Куртки-олимпийки,,,,
Свердловская Область,,,,,Плотность 145гр/м.,,,,,,,,,,,,,,,,,,Кюлоты,,,,
Севастополь,,,,,Плотность 156 гр,,,,,,,,,,,,,,,,,,Легинсы,,,,
Смоленская Область,,,,,Плотность 180 гр/м². 4 рулона кулирки,,,,,,,,,,,,,,,,,,Лонгслив,,,,
Спб,,,,,Плотность 220 (образец дадим) расход ткани: 0,,,,,,,,,,,,,,,,,,Лосины,,,,
Ставрополь,,,,,Плотность 230.,,,,,,,,,,,,,,,,,,Лыжный спорт,,,,
Ставропольский Край,,,,,Плотность 40,,,,,,,,,,,,,,,,,,Майка,,,,
Тамбовская Область,,,,,Плотность хлопка  350-400 мг,,,,,,,,,,,,,,,,,,Мантии для судей,,,,
Тверская Область,,,,,Плотный хлопок и нейлон,,,,,,,,,,,,,,,,,,Мантии учебные,,,,
Томская Область,,,,,Подбор ткани,,,,,,,,,,,,,,,,,,Маски для сна,,,,
Тульская Область,,,,,Подкладе синтепон,,,,,,,,,,,,,,,,,,Маски одноразовые,,,,
Тюменская Область,,,,,Поливескоза подклад,,,,,,,,,,,,,,,,,,Матрас,,,,
Ульяновская Область,,,,,Полиуретан,,,,,,,,,,,,,,,,,,Маты,,,,
Ферганская Область,,,,,Полиэстер,,,,,,,,,,,,,,,,,,Медицинские колпаки,,,,
Хабаровский Край,,,,,Полиэстер 20%,,,,,,,,,,,,,,,,,,Мексиканский костюм,,,,
Ханты-Мансийский Ао - Югра,,,,,Полиэстер 63%,,,,,,,,,,,,,,,,,,Мешочки подарочные,,,,
Херсонская Область,,,,,Полиэстер 95%,,,,,,,,,,,,,,,,,,Митенки,,,,
Челябинская Область,,,,,Поплин,,,,,,,,,,,,,,,,,,Модельная обувь,,,,
Чуйская Область,,,,,Прада либо японский шелк,,,,,,,,,,,,,,,,,,Мягкие горшки,,,,
Чукотский Ао,,,,,Пряжа 70 акрил,,,,,,,,,,,,,,,,,,Наволочки,,,,
Ямало-Ненецкий Ао,,,,,Пуговицы ржд,,,,,,,,,,,,,,,,,,Накидки для рюкзаков,,,,
Ярославская Область,,,,,Пэ 28,,,,,,,,,,,,,,,,,,Наматрасники,,,,
,,,,,Пэ- 50%,,,,,,,,,,,,,,,,,,Наперники,,,,
,,,,,С подкладом хлопковым,,,,,,,,,,,,,,,,,,Нарукавники,,,,
,,,,,Сатин,,,,,,,,,,,,,,,,,,Нашивки,,,,
,,,,,Синтепон,,,,,,,,,,,,,,,,,,Неглиже,,,,
,,,,,Состав - хлопок,,,,,,,,,,,,,,,,,,Носки,,,,
,,,,,Состав 75% хлопка,,,,,,,,,,,,,,,,,,Носовые платки,,,,
,,,,,Состав хлопок 95%,,,,,,,,,,,,,,,,,,Ночные сорочки,,,,
,,,,,Состав: 50/50 (обговаривается),,,,,,,,,,,,,,,,,,Одежда для скорой помощи,,,,
,,,,,Софтшелл с флисом,,,,,,,,,,,,,,,,,,Одеяла,,,,
,,,,,Спанбонд,,,,,,,,,,,,,,,,,,Одноразовая,,,,
,,,,,Спандекс,,,,,,,,,,,,,,,,,,Ортопедическая обувь,,,,
,,,,,Спандекс 10%,,,,,,,,,,,,,,,,,,Палантины,,,,
,,,,,Спандекс. 180г/м2,,,,,,,,,,,,,,,,,,"Палатки, засидки",,,,
,,,,,Твил,,,,,,,,,,,,,,,,,,Пальто,,,,
,,,,,Твил 190 г/м2,,,,,,,,,,,,,,,,,,Панамы,,,,
,,,,,Ткани барби,,,,,,,,,,,,,,,,,,Панталоны,,,,
,,,,,Ткани барби.,,,,,,,,,,,,,,,,,,Патронташ,,,,
,,,,,Ткани футер 3х нитка без начеса (турция).,,,,,,,,,,,,,,,,,,Пеленки,,,,
,,,,,Ткани: 100% хлопок,,,,,,,,,,,,,,,,,,Пеньюары парикмахерские,,,,
,,,,,Ткани: хлопок,,,,,,,,,,,,,,,,,,Перчатки,,,,
,,,,,Ткань  рибана в рубчик вискоза,,,,,,,,,,,,,,,,,,Пиджаки,,,,
,,,,,Ткань - плотный трикотаж (футер двухнитка),,,,,,,,,,,,,,,,,,Пижамы,,,,
,,,,,Ткань - хлопок 95%,,,,,,,,,,,,,,,,,,Пилотки,,,,
,,,,,Ткань -трехнитка,,,,,,,,,,,,,,,,,,Пинетки,,,,
,,,,,Ткань 2,,,,,,,,,,,,,,,,,,Плаванье,,,,
,,,,,Ткань 92% хлопок+8% лайкара.,,,,,,,,,,,,,,,,,,Платки,,,,
,,,,,Ткань бамбук,,,,,,,,,,,,,,,,,,Платье,,,,
,,,,,Ткань барби.,,,,,,,,,,,,,,,,,,Плащ,,,,
,,,,,Ткань босс,,,,,,,,,,,,,,,,,,Пледы,,,,
,,,,,Ткань верха: оксфорд (177гр/м2,,,,,,,,,,,,,,,,,,Поварские колпаки,,,,
,,,,,Ткань вискоза,,,,,,,,,,,,,,,,,,Пододеяльники,,,,
,,,,,Ткань дорогой твид,,,,,,,,,,,,,,,,,,Подследники,,,,
,,,,,Ткань канвас/ джинс,,,,,,,,,,,,,,,,,,Подтяжки,,,,
,,,,,Ткань костюмная,,,,,,,,,,,,,,,,,,Подушки,,,,
,,,,,Ткань костюмная – босс,,,,,,,,,,,,,,,,,,Подушки для беременных,,,,
,,,,,Ткань кулирка или футер,,,,,,,,,,,,,,,,,,Подшлемники,,,,
,,,,,Ткань кулирка хлопок 95 элатсан 5 или 95/5 вискоза/спандекс,,,,,,,,,,,,,,,,,,Покрывала,,,,
,,,,,Ткань лакост,,,,,,,,,,,,,,,,,,Ползунки,,,,
,,,,,Ткань лапша,,,,,,,,,,,,,,,,,,Полотенца,,,,
,,,,,Ткань масло с напылением,,,,,,,,,,,,,,,,,,Полуграция,,,,
,,,,,Ткань мембрана,,,,,,,,,,,,,,,,,,Полукомбинезон,,,,
,,,,,Ткань мембрана.,,,,,,,,,,,,,,,,,,Полукорсет,,,,
,,,,,Ткань муслин.,,,,,,,,,,,,,,,,,,Получулки,,,,
,,,,,Ткань оксфорд,,,,,,,,,,,,,,,,,,Португальский костюм,,,,
,,,,,Ткань плетенка,,,,,,,,,,,,,,,,,,Постельное белье,,,,
,,,,,Ткань полисатин,,,,,,,,,,,,,,,,,,Пояс,,,,
,,,,,Ткань полиэстер,,,,,,,,,,,,,,,,,,Пояс для чулок,,,,
,,,,,Ткань прада,,,,,,,,,,,,,,,,,,Пояс страховочный,,,,
,,,,,Ткань прадо,,,,,,,,,,,,,,,,,,Пояс-панталоны,,,,
,,,,,Ткань рубчик,,,,,,,,,,,,,,,,,,Пояс-трусы,,,,
,,,,,Ткань сатин,,,,,,,,,,,,,,,,,,Поясные сумки,,,,
,,,,,Ткань сингапур,,,,,,,,,,,,,,,,,,Промо-костюмы,,,,
,,,,,Ткань трикотаж,,,,,,,,,,,,,,,,,,Промо-сумки,,,,
,,,,,Ткань хб,,,,,,,,,,,,,,,,,,Простыни,,,,
,,,,,Ткань хб или тафета,,,,,,,,,,,,,,,,,,Противочумные костюмы,,,,
,,,,,Ткань хлопок,,,,,,,,,,,,,,,,,,Пуховик,,,,
,,,,,Ткань шанель,,,,,,,,,,,,,,,,,,Рабочая обувь,,,,
,,,,,Ткань шифон,,,,,,,,,,,,,,,,,,Разное,,,,
,,,,,Ткань(барби),,,,,,,,,,,,,,,,,,Распашонки,,,,
,,,,,Ткань: 90% тенсель,,,,,,,,,,,,,,,,,,Рейтузы,,,,
,,,,,Ткань: лапша,,,,,,,,,,,,,,,,,,Ремни,,,,
,,,,,Ткань: футер 2-х нитка.,,,,,,,,,,,,,,,,,,Ростовые куклы,,,,
,,,,,Ткань: футер 3 нитка,,,,,,,,,,,,,,,,,,Рубашка-поло,,,,
,,,,,Ткань: хлопок 100%,,,,,,,,,,,,,,,,,,Рубашки,,,,
,,,,,Трикотаж,,,,,,,,,,,,,,,,,,Рукавицы,,,,
,,,,,Трикотаж однотон с узором в фактуре,,,,,,,,,,,,,,,,,,Рукавички,,,,
,,,,,Трикотажное полотно футер 3 нитка петля 65% хб/35% пэ,,,,,,,,,,,,,,,,,,Рукавички-антицарапки,,,,
,,,,,Утеплитель 200-300 гр,,,,,,,,,,,,,,,,,,Русский костюм,,,,
,,,,,Флис 290гр,,,,,,,,,,,,,,,,,,Сабо,,,,
,,,,,Флис или хопок 3х нитка,,,,,,,,,,,,,,,,,,Салфетки тканевые,,,,
,,,,,Футер,,,,,,,,,,,,,,,,,,Сарафан,,,,
,,,,,Футер 2-х нитка с начесом,,,,,,,,,,,,,,,,,,Свитер,,,,
,,,,,Футер 2х нитка,,,,,,,,,,,,,,,,,,Свитер хоккейный,,,,
,,,,,Футер 3-х нитка с начесом,,,,,,,,,,,,,,,,,,Свитшот,,,,
,,,,,Футер 3х нитка,,,,,,,,,,,,,,,,,,Сербский костюм,,,,
,,,,,Футер 3хнитка,,,,,,,,,,,,,,,,,,"Сетки, сети",,,,
,,,,,Футер 560гр.,,,,,,,,,,,,,,,,,,Скатерти,,,,
,,,,,Футер пенье,,,,,,,,,,,,,,,,,,Сноуборд,,,,
,,,,,Футер трехнитка,,,,,,,,,,,,,,,,,,Сорочка,,,,
,,,,,Футера (2х и 3х нитка) с вышивкой логотипа на штанах,,,,,,,,,,,,,,,,,,Спальные мешки,,,,
,,,,,Хлопок,,,,,,,,,,,,,,,,,,Стельки обувные,,,,
,,,,,Хлопок 100%,,,,,,,,,,,,,,,,,,Сумка-шоппер,,,,
,,,,,Хлопок 100% 330 гр,,,,,,,,,,,,,,,,,,Таджикский костюм,,,,
,,,,,Хлопок 2-х нитка,,,,,,,,,,,,,,,,,,Тапочки домашние,,,,
,,,,,Хлопок 90-98%,,,,,,,,,,,,,,,,,,Тенты и чехлы для садовых качелей,,,,
,,,,,Хлопок  кулирка,,,,,,,,,,,,,,,,,,Тенты на лодку,,,,
,,,,,Цвет черный,,,,,,,,,,,,,,,,,,Термобелье,,,,
,,,,,Шелковистая фактура,,,,,,,,,,,,,,,,,,Толстовка,,,,
,,,,,Шерсть 100%,,,,,,,,,,,,,,,,,,Транспортировочные чехлы,,,,
,,,,,Шерсть 60%,,,,,,,,,,,,,,,,,,"Трусы, плавки",,,,
,,,,,Шифон,,,,,,,,,,,,,,,,,,Туника,,,,
,,,,,Шифон в горошек,,,,,,,,,,,,,,,,,,Туристические рюкзаки,,,,
,,,,,Штапель,,,,,,,,,,,,,,,,,,Украинский костюм,,,,
,,,,,Эко кожа,,,,,,,,,,,,,,,,,,Униформа для администраторов,,,,
,,,,,Эластан 2%,,,,,,,,,,,,,,,,,,Униформа для горничных,,,,
,,,,,Эластан 5%,,,,,,,,,,,,,,,,,,Униформа для крупье,,,,
,,,,,Эластан+вискоза+полиэстер,,,,,,,,,,,,,,,,,,Униформа для массажистов,,,,
,,,,,Японский шелк,,,,,,,,,,,,,,,,,,Униформа для официантов,,,,
,,,,,,,,,,,,,,,,,,,,,,,Униформа для повара,,,,
,,,,,,,,,,,,,,,,,,,,,,,Униформа для продавцов,,,,
,,,,,,,,,,,,,,,,,,,,,,,Униформа для сомелье,,,,
,,,,,,,,,,,,,,,,,,,,,,,Униформа для швейцаров,,,,
,,,,,,,,,,,,,,,,,,,,,,,Фартук,,,,
,,,,,,,,,,,,,,,,,,,,,,,Фартуки хассп,,,,
,,,,,,,,,,,,,,,,,,,,,,,Фигурное катание,,,,
,,,,,,,,,,,,,,,,,,,,,,,Финский костюм,,,,
,,,,,,,,,,,,,,,,,,,,,,,Флаги,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма бейсбольная,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма боксерская,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма военная,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма для кунг-фу,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма для регби,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма для самбо,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма кадетская,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма легкоатлетическая,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма мчс,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма охранника,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма полиции,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма спортивная,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма футбольная,,,,
,,,,,,,,,,,,,,,,,,,,,,,Форма хоккейная,,,,
,,,,,,,,,,,,,,,,,,,,,,,Фуражка,,,,
,,,,,,,,,,,,,,,,,,,,,,,Футболка,,,,
,,,,,,,,,,,,,,,,,,,,,,,Хакасский костюм,,,,
,,,,,,,,,,,,,,,,,,,,,,,Халат для торговли,,,,
,,,,,,,,,,,,,,,,,,,,,,,Халат домашний,,,,
,,,,,,,,,,,,,,,,,,,,,,,Халат медицинский,,,,
,,,,,,,,,,,,,,,,,,,,,,,Халат рабочий,,,,
,,,,,,,,,,,,,,,,,,,,,,,Халаты хассп,,,,
,,,,,,,,,,,,,,,,,,,,,,,Хирургические костюмы,,,,
,,,,,,,,,,,,,,,,,,,,,,,Хозяйственный инвентарь,,,,
,,,,,,,,,,,,,,,,,,,,,,,Худи,,,,
,,,,,,,,,,,,,,,,,,,,,,,Цыганский костюм,,,,
,,,,,,,,,,,,,,,,,,,,,,,Чепчики,,,,
,,,,,,,,,,,,,,,,,,,,,,,Чехлы,,,,
,,,,,,,,,,,,,,,,,,,,,,,Чувашский костюм,,,,
,,,,,,,,,,,,,,,,,,,,,,,Чулки,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шапки,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шарфы,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шевроны,,,,
,,,,,,,,,,,,,,,,,,,,,,,Школьная форма,,,,
,,,,,,,,,,,,,,,,,,,,,,,Школьные банты,,,,
,,,,,,,,,,,,,,,,,,,,,,,Школьные ранцы,,,,
,,,,,,,,,,,,,,,,,,,,,,,Школьные фартуки,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шлемы вязаные,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шляпы,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Шнурки, шнуры",,,,
,,,,,,,,,,,,,,,,,,,,,,,Шорты,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шотландский костюм,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шпагат,,,,
,,,,,,,,,,,,,,,,,,,,,,,Штаны,,,,
,,,,,,,,,,,,,,,,,,,,,,,Штаны хассп,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шторы,,,,
,,,,,,,,,,,,,,,,,,,,,,,Шуба,,,,
,,,,,,,,,,,,,,,,,,,,,,,Эспандер,,,,
,,,,,,,,,,,,,,,,,,,,,,,Юбка,,,,
,,,,,,,,,,,,,,,,,,,,,,,Ясельные комплекты,,,,
